City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,San Cristobal,VE,7.7669,-72.225,80.6,69,40,6.91,scattered clouds
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.6,43,0,9.22,clear sky
320,Flinders,AU,-34.5833,150.8552,53.01,87,23,1.99,few clouds
321,Gazanjyk,TM,39.2446,55.5154,25.2,90,100,15.52,overcast clouds
322,Elizabeth City,US,36.2946,-76.2511,63.0,33,1,5.75,clear sky
323,Atambua,ID,-9.1061,124.8925,74.48,86,100,1.57,overcast clouds
324,Lucapa,AO,-8.4192,20.7447,72.97,82,32,2.35,light rain
325,Hobyo,SO,5.3505,48.5268,80.31,80,67,13.35,broken clouds
326,Klaksvik,FO,62.2266,-6.589,41.0,87,75,6.91,broken clouds
327,Pangnirtung,CA,66.1451,-65.7125,-16.6,69,1,3.0,clear sky
328,Fairbanks,US,64.8378,-147.7164,-6.0,71,1,3.69,clear sky
329,Koster,ZA,-25.863,26.8976,64.96,30,0,5.79,clear sky
330,Maunabo,PR,18.0072,-65.8993,84.0,67,12,1.99,few clouds
331,Huilong,CN,31.8111,121.655,54.0,87,68,7.0,broken clouds
332,Trairi,BR,-3.2778,-39.2689,84.9,64,22,11.07,few clouds
333,Manokwari,ID,-0.8667,134.0833,77.83,79,75,6.04,broken clouds
334,Ankang,CN,32.68,109.0172,59.36,93,100,1.28,overcast clouds
335,Waingapu,ID,-9.6567,120.2641,78.71,87,19,4.21,few clouds
336,Bubaque,GW,11.2833,-15.8333,79.43,60,64,11.43,broken clouds
337,Sakaiminato,JP,35.55,133.2333,42.8,93,75,5.75,broken clouds
338,Manaus,BR,-3.1019,-60.025,86.0,70,75,4.61,broken clouds
339,Urumqi,CN,43.801,87.6005,28.4,64,75,4.47,broken clouds
340,Conde,BR,-7.2597,-34.9075,87.8,55,40,13.8,scattered clouds
341,San Quintin,MX,30.4833,-115.95,57.34,62,0,6.64,clear sky
342,Russell,US,32.3502,-85.1999,77.0,50,1,4.7,clear sky
343,Kununurra,AU,-15.7667,128.7333,80.6,100,90,2.24,overcast clouds
344,Itamarandiba,BR,-17.8572,-42.8589,78.33,50,80,3.31,broken clouds
345,Dali,CN,25.7,100.1833,52.56,60,1,8.01,clear sky
346,Galle,LK,6.0367,80.217,78.31,83,41,9.75,scattered clouds
